Method,Age MAE,Gender Accuracy,Gender F1-score
HOG + SVM/SVR,11.120619337451,0.8384647827920708,0.8309050772626931
Custom CNN,8.390867681354473,0.8447912273302404,0.8491803278688524
ResNet18 Transfer,9.384063218726935,0.8165331083930831,0.8039657503379901
