Race Group,Samples,Age MAE,Gender Accuracy
White,1046,9.557916803524098,0.847036328871893
Black,481,8.160794188723495,0.8690228690228691
Asian,343,6.55960125825843,0.7755102040816326
Indian,360,7.822378465864394,0.8722222222222222
Others,141,6.424289446350531,0.8439716312056738
